"wid","iv","sbid1","iss","date"
"056091",0.549106597900391,71.3,"統一","20200305"
"056091",0.552471160888672,71.1,"統一","20200305"
"058208",0.510562896728516,71.1,"凱基","20200305"
"058208",0.513118743896484,71.1,"凱基","20200305"
"050253",0.570491790771484,71.2,"國泰","20200305"
"052953",0.555385589599609,71.2,"國票","20200305"
"054067",0.499408721923828,71.2,"國票","20200305"
"054102",0.477352142333984,71.2,"國票","20200305"
"056091",0.550792694091797,71.2,"統一","20200305"
"052953",0.555385589599609,71.2,"國票","20200305"
"052953",0.555385589599609,71.2,"國票","20200305"
"054877",0.506710052490234,71.3,"群益","20200305"
"058149",0.661334991455078,71.3,"元大","20200305"
"058251",0.537899017333984,71.3,"元大","20200305"
"706756",0.707172393798828,70.3,"元富","20200305"
"706757",0.739208221435547,70.3,"元富","20200305"
"706799",0.708576202392578,70.3,"元大","20200305"
"709151",0.695812225341797,70.4,"永豐","20200305"
"048427",0.566768646240234,70.9,"元富","20200305"
"048427",0.566768646240234,70.9,"元富","20200305"
"052953",0.555728912353516,70.9,"國票","20200305"
"052953",0.561336517333984,70.9,"國票","20200305"
"053250",0.542911529541016,70.9,"國票","20200305"
"056091",0.552158355712891,70.9,"統一","20200305"
"056091",0.552158355712891,70.9,"統一","20200305"
"050253",0.568187713623047,71.3,"國泰","20200305"
"058208",0.508563995361328,71.3,"凱基","20200305"
"052953",0.550304412841797,71.3,"國票","20200305"
"050253",0.577404022216797,70.9,"國泰","20200305"
"052953",0.559482574462891,70.9,"國票","20200305"
"053250",0.542911529541016,70.9,"國票","20200305"
"706756",0.699474334716797,70.5,"元富","20200305"
"706757",0.733303070068359,70.5,"元富","20200305"
"706799",0.707439422607422,70.5,"元大","20200305"
"706880",0.696544647216797,70.5,"元大","20200305"
"707349",0.676189422607422,70.5,"元大","20200305"
"048427",0.563220977783203,71.1,"元富","20200305"
"050253",0.572788238525391,71.1,"國泰","20200305"
"050463",0.614208221435547,71.1,"元大","20200305"
"052953",0.554889678955078,71.1,"國票","20200305"
"053792",0.551158905029297,71.1,"元大","20200305"
"056091",0.552471160888672,71.1,"統一","20200305"
"058113",0.502719879150391,71.1,"元富","20200305"
"058148",0.609867095947266,71.1,"元大","20200305"
"058208",0.507999420166016,71.1,"凱基","20200305"
"058251",0.538936614990234,71.1,"元大","20200305"
"053250",0.533901214599609,71.2,"國票","20200305"
"058208",0.505733489990234,71.2,"凱基","20200305"
"052953",0.553524017333984,71.2,"國票","20200305"
"058113",0.502719879150391,71.1,"元富","20200305"
"050253",0.572788238525391,71.1,"國泰","20200305"
"052953",0.554889678955078,71.1,"國票","20200305"
"053250",0.533901214599609,71.2,"國票","20200305"
"056091",0.550792694091797,71.2,"統一","20200305"
"058113",0.500606536865234,71.2,"元富","20200305"
"052953",0.553524017333984,71.2,"國票","20200305"
"053250",0.533901214599609,71.2,"國票","20200305"
"058113",0.500606536865234,71.2,"元富","20200305"
